Time 1Elf Jack: Selected Toy fake tattoo, Girl
Time 304Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 304Elf Jack: Selected Toy train, Boy
Time 304Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 304Elf Jack: Placed Toy train, on the sleigh. 
Time 304Elf Jack: Selected Toy train, Boy
Time 304Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 304Elf Jack: Placed Toy train, on the sleigh. 
Time 304Elf Jack: Selected Toy bracelet, Girl
Time 304Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 304Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 304Elf Jack: Selected Toy fake tattoo, Boy
Time 304Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 304Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 304Elf Jack: Selected Toy train, Boy
Time 304Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 304Elf Jack: Placed Toy train, on the sleigh. 
Time 304Elf Jack: Selected Toy doll, Girl
Time 304Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 304Elf Jack: Placed Toy doll, on the sleigh. 
Time 304Elf Jack: Selected Toy fake tattoo, Girl
Time 304Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 304Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 304Elf Jack: Selected Toy train, Girl
Time 305Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 305Elf Jack: Placed Toy train, on the sleigh. 
Time 305Elf Jack: Selected Toy dinosaur, Girl
Time 305Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 305Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 305Elf Jack: Selected Toy whistle, Boy
Time 305Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 305Elf Jack: Placed Toy whistle, on the sleigh. 
Time 305Elf Jack: Selected Toy bracelet, Girl
Time 305Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 305Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 305Elf Jack: Selected Toy whistle, Girl
Time 305Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 305Elf Jack: Placed Toy whistle, on the sleigh. 
Time 305Elf Jack: Selected Toy doll, Boy
Time 305Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 305Elf Jack: Placed Toy doll, on the sleigh. 
Time 305Elf Jack: Selected Toy whistle, Boy
Time 305Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 305Elf Jack: Placed Toy whistle, on the sleigh. 
Time 305Elf Jack: Selected Toy fake tattoo, Boy
Time 305Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 305Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 305Elf Jack: Selected Toy bracelet, Boy
Time 305Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 305Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 305Elf Jack: Selected Toy doll, Girl
Time 305Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 305Elf Jack: Placed Toy doll, on the sleigh. 
Time 305Elf Jack: Selected Toy whistle, Girl
Time 305Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 305Elf Jack: Placed Toy whistle, on the sleigh. 
Time 306Elf Jack: Selected Toy bracelet, Girl
Time 306Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 306Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 306Elf Jack: Selected Toy dinosaur, Boy
Time 306Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 306Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 306Elf Jack: Selected Toy doll, Girl
Time 306Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 306Elf Jack: Placed Toy doll, on the sleigh. 
Time 306Elf Jack: Selected Toy doll, Girl
Time 306Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 306Elf Jack: Placed Toy doll, on the sleigh. 
Time 306Elf Jack: Selected Toy dinosaur, Girl
Time 306Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 306Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 306Elf Jack: Selected Toy whistle, Boy
Time 306Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 306Elf Jack: Placed Toy whistle, on the sleigh. 
Time 306Elf Jack: Selected Toy fake tattoo, Boy
Time 306Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 306Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 306Elf Jack: Selected Toy dinosaur, Girl
Time 306Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 306Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 306Elf Jack: Selected Toy whistle, Boy
Time 306Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 306Elf Jack: Placed Toy whistle, on the sleigh. 
Time 306Elf Jack: Selected Toy dinosaur, Boy
Time 306Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 306Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 306Elf Jack: Selected Toy fake tattoo, Girl
Time 306Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 306Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 307Elf Jack: Selected Toy whistle, Girl
Time 307Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 307Elf Jack: Placed Toy whistle, on the sleigh. 
Time 307Elf Jack: Selected Toy train, Boy
Time 307Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 307Elf Jack: Placed Toy train, on the sleigh. 
Time 307Elf Jack: Selected Toy train, Girl
Time 307Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 307Elf Jack: Placed Toy train, on the sleigh. 
Time 307Elf Jack: Selected Toy train, Girl
Time 307Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 307Elf Jack: Placed Toy train, on the sleigh. 
Time 307Elf Jack: Selected Toy whistle, Boy
Time 307Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 307Elf Jack: Placed Toy whistle, on the sleigh. 
Time 307Elf Jack: Selected Toy train, Boy
Time 307Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 307Elf Jack: Placed Toy train, on the sleigh. 
Time 307Elf Jack: Selected Toy fake tattoo, Girl
Time 307Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 307Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 307Elf Jack: Selected Toy fake tattoo, Boy
Time 307Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 307Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 307Elf Jack: Selected Toy fake tattoo, Girl
Time 307Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 307Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 307Elf Jack: Selected Toy fake tattoo, Boy
Time 307Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 307Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 307Elf Jack: Selected Toy whistle, Girl
Time 307Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 307Elf Jack: Placed Toy whistle, on the sleigh. 
Time 307Elf Jack: Selected Toy dinosaur, Boy
Time 307Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 307Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 307Elf Jack: Selected Toy train, Girl
Time 308Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 308Elf Jack: Placed Toy train, on the sleigh. 
Time 308Elf Jack: Selected Toy fake tattoo, Boy
Time 308Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 308Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 308Elf Jack: Selected Toy doll, Boy
Time 308Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 308Elf Jack: Placed Toy doll, on the sleigh. 
Time 308Elf Jack: Selected Toy fake tattoo, Boy
Time 308Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 308Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 308Elf Jack: Selected Toy doll, Boy
Time 308Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 308Elf Jack: Placed Toy doll, on the sleigh. 
Time 308Elf Jack: Selected Toy fake tattoo, Boy
Time 308Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 308Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 308Elf Jack: Selected Toy train, Boy
Time 308Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 308Elf Jack: Placed Toy train, on the sleigh. 
Time 308Elf Jack: Selected Toy doll, Girl
Time 308Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 308Elf Jack: Placed Toy doll, on the sleigh. 
Time 308Elf Jack: Selected Toy dinosaur, Girl
Time 308Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 308Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 308Elf Jack: Selected Toy train, Girl
Time 308Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 308Elf Jack: Placed Toy train, on the sleigh. 
Time 308Elf Jack: Selected Toy bracelet, Girl
Time 308Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 308Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 308Elf Jack: Selected Toy bracelet, Girl
Time 308Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 308Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 308Elf Jack: Selected Toy doll, Boy
Time 309Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 309Elf Jack: Placed Toy doll, on the sleigh. 
Time 309Elf Jack: Selected Toy bracelet, Girl
Time 309Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 309Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 309Elf Jack: Selected Toy doll, Boy
Time 309Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 309Elf Jack: Placed Toy doll, on the sleigh. 
Time 309Elf Jack: Selected Toy train, Girl
Time 309Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 309Elf Jack: Placed Toy train, on the sleigh. 
Time 309Elf Jack: Selected Toy whistle, Boy
Time 309Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 309Elf Jack: Placed Toy whistle, on the sleigh. 
Time 309Elf Jack: Selected Toy whistle, Girl
Time 309Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 309Elf Jack: Placed Toy whistle, on the sleigh. 
Time 309Elf Jack: Selected Toy whistle, Boy
Time 309Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 309Elf Jack: Placed Toy whistle, on the sleigh. 
Time 309Elf Jack: Selected Toy doll, Girl
Time 309Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 309Elf Jack: Placed Toy doll, on the sleigh. 
Time 309Elf Jack: Selected Toy whistle, Boy
Time 309Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 309Elf Jack: Placed Toy whistle, on the sleigh. 
Time 309Elf Jack: Selected Toy whistle, Girl
Time 309Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 309Elf Jack: Placed Toy whistle, on the sleigh. 
Time 309Elf Jack: Selected Toy fake tattoo, Boy
Time 309Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 309Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 309Elf Jack: Selected Toy whistle, Girl
Time 309Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 309Elf Jack: Placed Toy whistle, on the sleigh. 
Time 310Elf Jack: Selected Toy whistle, Girl
Time 310Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 310Elf Jack: Placed Toy whistle, on the sleigh. 
Time 310Elf Jack: Selected Toy doll, Girl
Time 310Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 310Elf Jack: Placed Toy doll, on the sleigh. 
Time 310Elf Jack: Selected Toy dinosaur, Girl
Time 310Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 310Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 310Elf Jack: Selected Toy doll, Boy
Time 310Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 310Elf Jack: Placed Toy doll, on the sleigh. 
Time 310Elf Jack: Selected Toy whistle, Girl
Time 310Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 310Elf Jack: Placed Toy whistle, on the sleigh. 
Time 310Elf Jack: Selected Toy dinosaur, Girl
Time 310Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 310Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 310Elf Jack: Selected Toy bracelet, Boy
Time 310Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 310Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 310Elf Jack: Selected Toy dinosaur, Girl
Time 310Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 310Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 310Elf Jack: Selected Toy doll, Girl
Time 310Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 310Elf Jack: Placed Toy doll, on the sleigh. 
Time 310Elf Jack: Selected Toy whistle, Girl
Time 310Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 310Elf Jack: Placed Toy whistle, on the sleigh. 
Time 311Elf Jack: Selected Toy dinosaur, Girl
Time 311Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 311Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 311Elf Jack: Selected Toy dinosaur, Girl
Time 311Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 311Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 311Elf Jack: Selected Toy dinosaur, Boy
Time 311Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 311Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 311Elf Jack: Selected Toy fake tattoo, Girl
Time 311Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 311Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 311Elf Jack: Selected Toy bracelet, Boy
Time 311Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 311Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 311Elf Jack: Selected Toy fake tattoo, Boy
Time 311Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 311Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 311Elf Jack: Selected Toy bracelet, Boy
Time 311Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 311Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 311Elf Jack: Selected Toy fake tattoo, Boy
Time 311Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 311Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 311Elf Jack: Selected Toy train, Boy
Time 311Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 311Elf Jack: Placed Toy train, on the sleigh. 
Time 311Elf Jack: Selected Toy train, Boy
Time 311Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 311Elf Jack: Placed Toy train, on the sleigh. 
Time 311Elf Jack: Selected Toy dinosaur, Boy
Time 311Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 311Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 311Elf Jack: Selected Toy bracelet, Girl
Time 311Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 311Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 312Elf Jack: Selected Toy whistle, Girl
Time 312Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 312Elf Jack: Placed Toy whistle, on the sleigh. 
Time 312Elf Jack: Selected Toy dinosaur, Boy
Time 312Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 312Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 312Elf Jack: Selected Toy train, Boy
Time 312Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 312Elf Jack: Placed Toy train, on the sleigh. 
Time 312Elf Jack: Selected Toy whistle, Girl
Time 312Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 312Elf Jack: Placed Toy whistle, on the sleigh. 
Time 312Elf Jack: Selected Toy dinosaur, Girl
Time 312Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 312Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 312Elf Jack: Selected Toy fake tattoo, Girl
Time 312Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 312Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 312Elf Jack: Selected Toy whistle, Girl
Time 312Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 312Elf Jack: Placed Toy whistle, on the sleigh. 
Time 312Elf Jack: Selected Toy bracelet, Boy
Time 312Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 312Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 312Elf Jack: Selected Toy doll, Girl
Time 312Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 312Elf Jack: Placed Toy doll, on the sleigh. 
Time 312Elf Jack: Selected Toy fake tattoo, Boy
Time 312Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 312Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 313Elf Jack: Selected Toy whistle, Boy
Time 313Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 313Elf Jack: Placed Toy whistle, on the sleigh. 
Time 313Elf Jack: Selected Toy doll, Girl
Time 313Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 313Elf Jack: Placed Toy doll, on the sleigh. 
Time 313Elf Jack: Selected Toy bracelet, Boy
Time 313Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 313Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 313Elf Jack: Selected Toy whistle, Girl
Time 313Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 313Elf Jack: Placed Toy whistle, on the sleigh. 
Time 313Elf Jack: Selected Toy bracelet, Girl
Time 313Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 313Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 313Elf Jack: Selected Toy bracelet, Boy
Time 313Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 313Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 313Elf Jack: Selected Toy fake tattoo, Boy
Time 313Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 313Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 313Elf Jack: Selected Toy bracelet, Girl
Time 313Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 313Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 313Elf Jack: Selected Toy dinosaur, Girl
Time 313Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 313Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 313Elf Jack: Selected Toy train, Boy
Time 313Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 313Elf Jack: Placed Toy train, on the sleigh. 
Time 313Elf Jack: Selected Toy dinosaur, Girl
Time 314Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 314Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 314Elf Jack: Selected Toy train, Boy
Time 314Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 314Elf Jack: Placed Toy train, on the sleigh. 
Time 314Elf Jack: Selected Toy fake tattoo, Girl
Time 314Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 314Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 314Elf Jack: Selected Toy train, Girl
Time 314Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 314Elf Jack: Placed Toy train, on the sleigh. 
Time 314Elf Jack: Selected Toy doll, Girl
Time 314Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 314Elf Jack: Placed Toy doll, on the sleigh. 
Time 314Elf Jack: Selected Toy doll, Girl
Time 314Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 314Elf Jack: Placed Toy doll, on the sleigh. 
Time 314Elf Jack: Selected Toy train, Girl
Time 314Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 314Elf Jack: Placed Toy train, on the sleigh. 
Time 314Elf Jack: Selected Toy whistle, Boy
Time 314Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 314Elf Jack: Placed Toy whistle, on the sleigh. 
Time 314Elf Jack: Selected Toy fake tattoo, Boy
Time 314Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 314Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 314Elf Jack: Selected Toy dinosaur, Boy
Time 314Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 314Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 314Elf Jack: Selected Toy doll, Boy
Time 314Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 314Elf Jack: Placed Toy doll, on the sleigh. 
Time 314Elf Jack: Selected Toy bracelet, Boy
Time 314Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 314Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 314Elf Jack: Selected Toy bracelet, Girl
Time 314Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 314Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 314Elf Jack: Selected Toy whistle, Girl
Time 314Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 314Elf Jack: Placed Toy whistle, on the sleigh. 
Time 315Elf Jack: Selected Toy bracelet, Girl
Time 315Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 315Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 315Elf Jack: Selected Toy dinosaur, Boy
Time 315Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 315Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 315Elf Jack: Selected Toy bracelet, Boy
Time 315Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 315Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 315Elf Jack: Selected Toy train, Girl
Time 315Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 315Elf Jack: Placed Toy train, on the sleigh. 
Time 315Elf Jack: Selected Toy train, Boy
Time 315Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 315Elf Jack: Placed Toy train, on the sleigh. 
Time 315Elf Jack: Selected Toy doll, Boy
Time 315Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 315Elf Jack: Placed Toy doll, on the sleigh. 
Time 315Elf Jack: Selected Toy whistle, Boy
Time 315Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 315Elf Jack: Placed Toy whistle, on the sleigh. 
Time 315Elf Jack: Selected Toy whistle, Boy
Time 315Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 315Elf Jack: Placed Toy whistle, on the sleigh. 
Time 315Elf Jack: Selected Toy whistle, Boy
Time 315Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 315Elf Jack: Placed Toy whistle, on the sleigh. 
Time 315Elf Jack: Selected Toy dinosaur, Girl
Time 316Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 316Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 316Elf Jack: Selected Toy fake tattoo, Boy
Time 316Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 316Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 316Elf Jack: Selected Toy train, Girl
Time 316Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 316Elf Jack: Placed Toy train, on the sleigh. 
Time 316Elf Jack: Selected Toy doll, Boy
Time 316Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 316Elf Jack: Placed Toy doll, on the sleigh. 
Time 316Elf Jack: Selected Toy train, Girl
Time 316Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 316Elf Jack: Placed Toy train, on the sleigh. 
Time 316Elf Jack: Selected Toy train, Boy
Time 316Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 316Elf Jack: Placed Toy train, on the sleigh. 
Time 316Elf Jack: Selected Toy fake tattoo, Boy
Time 316Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 316Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 316Elf Jack: Selected Toy whistle, Girl
Time 316Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 316Elf Jack: Placed Toy whistle, on the sleigh. 
Time 316Elf Jack: Selected Toy doll, Boy
Time 316Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 316Elf Jack: Placed Toy doll, on the sleigh. 
Time 316Elf Jack: Selected Toy bracelet, Girl
Time 316Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 316Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 316Elf Jack: Selected Toy bracelet, Girl
Time 316Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 316Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 316Elf Jack: Selected Toy whistle, Girl
Time 316Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 316Elf Jack: Placed Toy whistle, on the sleigh. 
Time 316Elf Jack: Selected Toy doll, Boy
Time 316Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 316Elf Jack: Placed Toy doll, on the sleigh. 
Time 316Elf Jack: Selected Toy bracelet, Girl
Time 316Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 316Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 317Elf Jack: Selected Toy whistle, Boy
Time 317Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 317Elf Jack: Placed Toy whistle, on the sleigh. 
Time 317Elf Jack: Selected Toy doll, Boy
Time 317Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 317Elf Jack: Placed Toy doll, on the sleigh. 
Time 317Elf Jack: Selected Toy dinosaur, Boy
Time 317Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 317Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 317Elf Jack: Selected Toy doll, Boy
Time 317Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 317Elf Jack: Placed Toy doll, on the sleigh. 
Time 317Elf Jack: Selected Toy doll, Girl
Time 317Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 317Elf Jack: Placed Toy doll, on the sleigh. 
Time 317Elf Jack: Selected Toy train, Girl
Time 317Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 317Elf Jack: Placed Toy train, on the sleigh. 
Time 317Elf Jack: Selected Toy whistle, Boy
Time 317Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 317Elf Jack: Placed Toy whistle, on the sleigh. 
Time 317Elf Jack: Selected Toy dinosaur, Girl
Time 317Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 317Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 317Elf Jack: Selected Toy whistle, Girl
Time 318Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
